Lexema:   TITULO      Tipo:  TITULO   Linea   1   Columna 7
Lexema:   =      Tipo:  Igual   Linea   1   Columna 7
Lexema:   "Hongo"      Tipo:  cadena   Linea   1   Columna 14
Lexema:   ;      Tipo:  puntocoma   Linea   1   Columna 15
Lexema:   ANCHO      Tipo:  ANCHO   Linea   2   Columna 6
Lexema:   =      Tipo:  Igual   Linea   2   Columna 6
Lexema:   320      Tipo:  entero   Linea   2   Columna 10
Lexema:   ;      Tipo:  puntocoma   Linea   2   Columna 10
Lexema:   ALTO      Tipo:  ALTO   Linea   3   Columna 5
Lexema:   =      Tipo:  Igual   Linea   3   Columna 5
Lexema:   320      Tipo:  entero   Linea   3   Columna 9
Lexema:   ;      Tipo:  puntocoma   Linea   3   Columna 9
Lexema:   FILAS      Tipo:  FILAS   Linea   4   Columna 6
Lexema:   =      Tipo:  Igual   Linea   4   Columna 6
Lexema:   16      Tipo:  entero   Linea   4   Columna 9
Lexema:   ;      Tipo:  puntocoma   Linea   4   Columna 9
Lexema:   COLUMNAS      Tipo:  COLUMNAS   Linea   5   Columna 9
Lexema:   =      Tipo:  Igual   Linea   5   Columna 9
Lexema:   16      Tipo:  entero   Linea   5   Columna 12
Lexema:   ;      Tipo:  puntocoma   Linea   5   Columna 12
Lexema:   CELDAS      Tipo:  CELDAS   Linea   6   Columna 7
Lexema:   =      Tipo:  Igual   Linea   6   Columna 7
Lexema:   {      Tipo:  llaveAbrir   Linea   6   Columna 8
Lexema:   [      Tipo:  corcheteAbrir   Linea   7   Columna 4
Lexema:   5      Tipo:  entero   Linea   7   Columna 6
Lexema:   ,      Tipo:  coma   Linea   7   Columna 6
Lexema:   0      Tipo:  entero   Linea   7   Columna 8
Lexema:   ,      Tipo:  coma   Linea   7   Columna 8
Lexema:   TRUE      Tipo:  boleano   Linea   7   Columna 13
Lexema:   ,      Tipo:  coma   Linea   7   Columna 13
Lexema:   #000000      Tipo:  CodigoColor   Linea   7   Columna 21
Lexema:   ]      Tipo:  corcheteCerrar   Linea   7   Columna 21
Lexema:   ,      Tipo:  coma   Linea   7   Columna 22
Lexema:   [      Tipo:  corcheteAbrir   Linea   8   Columna 4
Lexema:   6      Tipo:  entero   Linea   8   Columna 6
Lexema:   ,      Tipo:  coma   Linea   8   Columna 6
Lexema:   0      Tipo:  entero   Linea   8   Columna 8
